0.01 1.5947121498399246e+39 12031.271637078962
0.015 6.735007930314802e+39 14082.503076738521
0.02 1.4666061386145958e+40 14815.091334726434
0.024999999999999998 2.435133764824715e+40 15041.864001440146
0.03 3.5159867925582163e+40 15051.928195011335
0.034999999999999996 4.652822980362342e+40 14954.264218873372
0.04 5.822241401427665e+40 14802.011795031794
0.045 7.01452638330059e+40 14628.800527282709
0.049999999999999996 8.223689645871551e+40 14450.306135371617
0.055 9.43999310139512e+40 14271.098338809901
0.06999999999999999 1.3129854043137793e+41 13771.606956925685
0.08499999999999999 1.6836376961369005e+41 13339.32178340472
0.09999999999999999 2.052133349695843e+41 12967.668070289896
0.11499999999999999 2.4161828119573906e+41 12646.689709162432
0.13 2.7733770655707858e+41 12366.284414681711
0.145 3.1225782448609783e+41 12119.63624892547
0.16 3.461504046257681e+41 11899.653855351633
0.175 3.790124953304427e+41 11702.698774115557
0.19 4.1070396898448624e+41 11524.536989378388
0.205 4.4103628477365994e+41 11361.400216056061
0.22 4.700272551245329e+41 11211.555544884475
0.235 4.976508665440206e+41 11072.97672357308
0.25 5.236019853813247e+41 10942.678544115228
0.265 5.477970742263861e+41 10819.114559112773
0.27999999999999997 5.702547419349731e+41 10701.554556144749
0.295 5.9099711893159306e+41 10589.19921628913
0.31 6.0998014371748596e+41 10481.148878756503
0.325 6.270096469568314e+41 10375.899604514834
0.33999999999999997 6.421679824593101e+41 10273.251275605167
0.355 6.555687899296913e+41 10173.172245719643
0.37 6.673270591694513e+41 10075.543585359095
0.38499999999999995 6.775606233951839e+41 9980.307810508146
0.39999999999999997 6.863470776897584e+41 9887.268294433816
0.415 6.936528211537671e+41 9795.857978297397
0.43 6.995969657313706e+41 9706.08902241603
0.44499999999999995 7.043152341897287e+41 9618.037387956361
0.45999999999999996 7.07934955457514e+41 9531.774112242218
0.475 7.10577276592502e+41 9447.347925132799
0.49 7.123443879617722e+41 9364.745597950607
0.505 7.133376278854901e+41 9284.014875199686
0.61 7.035412203625528e+41 8764.646335003123
0.76 6.653968898272426e+41 8150.990339560272
0.9099999999999999 6.100563994511186e+41 7622.420348882663
1.06 5.460642545150854e+41 7145.249286610697
1.21 4.828807321711586e+41 6716.097345938013
1.3599999999999999 4.259881789299381e+41 6335.32124104159
1.51 3.765120549884957e+41 5997.935905127313
1.66 3.3524247687437448e+41 5703.153729264473
1.8099999999999998 3.0127765970337047e+41 5446.373528309329
1.96 2.7343803792674396e+41 5222.6381341239
2.11 2.5102818009821656e+41 4966.289314079743
2.26 2.329705238357966e+41 4727.324612640754
2.4099999999999997 2.1834001641213143e+41 4521.530366860206
2.56 2.0628608132521908e+41 4342.425745933854
2.71 1.959783375677097e+41 4183.9074349737875
2.86 1.8698040861043303e+41 4042.186918711605
3.01 1.789813267661628e+41 3914.212213329524
3.1599999999999997 1.7175545515275144e+41 3797.6878286866167
3.31 1.651317913242381e+41 3690.775184714746
3.46 1.5897300626412611e+41 3591.9498379309416
3.61 1.532003383669156e+41 3500.121362938506
3.76 1.4775793439785889e+41 3414.5169678104457
3.9099999999999997 1.426049327847584e+41 3334.316382595213
4.06 1.3771117347845149e+41 3258.9388821364137
4.21 1.3305186947048007e+41 3187.88881791027
4.359999999999999 1.285657522268116e+41 3120.4933917505327
4.51 1.2423554737338272e+41 3056.374435008259
4.66 1.200645463152998e+41 2995.3604606621643
4.81 1.1605428241468923e+41 2937.1970342150657
4.96 1.1220482384121457e+41 2881.7059507771964
5.01 1.1095723684184508e+41 2863.7666860617387
5.51 9.942790713685604e+40 2698.5674247282677
6.01 8.92327372565075e+40 2553.718117056749
6.51 8.0276066186784825e+40 2425.669079226278
7.01 7.253066581983686e+40 2312.4748957341703
7.51 6.574664638549637e+40 2211.0580996091885
8.01 5.971560413678785e+40 2100.5503880131737
8.51 5.441844811855156e+40 1991.1279211158967
9.01 4.978855506879302e+40 1892.5501192365273
9.51 4.570673550042059e+40 1803.1514141566188
10.01 4.201827741253841e+40 1720.9566331998217
10.51 3.870653360782389e+40 1645.4023610857846
11.01 3.5745018518422097e+40 1575.9325525226768
11.51 3.3099553873008753e+40 1511.9773229700907
12.01 3.0733655846844333e+40 1452.9793984238033
12.51 2.8577701411019934e+40 1397.9948547913816
13.01 2.6602906327568017e+40 1346.5454828102306
13.51 2.4800707037949345e+40 1298.421641038757
14.01 2.3158770271431583e+40 1253.3928424935732
14.51 2.166337848358608e+40 1211.226167830861
15.01 2.0300754388661294e+40 1171.696418432218
15.51 1.9057758315623056e+40 1134.5913263219577
16.009999999999998 1.791324509618565e+40 1099.5761348821873
16.509999999999998 1.6852699752470263e+40 1066.4027062702153
17.009999999999998 1.5871532984656762e+40 1034.9752550873427
17.509999999999998 1.4964443334707715e+40 1005.1930398239846
18.009999999999998 1.4125900686795689e+40 976.9550564904455
18.509999999999998 1.3350437180257599e+40 950.1628952744301
19.009999999999998 1.2632815191259567e+40 924.722407846318
19.509999999999998 1.1968117276869724e+40 900.5446047497729
20.009999999999998 1.135178708537265e+40 877.546057045158
20.509999999999998 1.0778524909176827e+40 855.6268540542738
21.009999999999998 1.0242203994382818e+40 834.6660202289846
21.509999999999998 9.740398830528123e+39 814.613089258854
22.009999999999998 9.27085821747556e+39 795.4215772901106
22.509999999999998 8.83137567736616e+39 777.0460313721868
23.009999999999998 8.419830812326187e+39 759.4425676355372
23.509999999999998 8.034213299060923e+39 742.5691955030136
24.009999999999998 7.672635183650612e+39 726.3859938143844
24.509999999999998 7.333335387015074e+39 710.8551851415789
