224 86 0 1 6420 0 0.783 0.0000000000000000       0.26100000000000001        0.0000000000000000
224 87 0 1 199.8 0 2.83 0.0000000000000000       0.53339530000000002       0.83460000000000001
224 88 1 0 316224 5.78887 0 5.6730000000000000        1.0388479999999999E-002   0.000000000000000
220 86 1 0 55.6 6.40467 0 6.2869999999999999        6.2838309999999997E-004   0.0000000000000000
216 84 1 0 0.145 6.9063 0 6.7780000000000005        1.5305070000000002E-005   0.0000000000000000
212 82 0 1 38304 0 0.5699 0.0000000000000000       0.14333779999999999       0.10020000000000001
212 83 0.3594 0.6406 3633 6.20726 2.2521 2.1750000000000003       0.10401439999999999       0.49390000000000001
212 84 1 0 2.99e-07 8.95412 0 8.7850000000000001        0.0000000000000000        0.0000000000000000
208 81 0 1  183.18000000000001 0 4.999  0.0000000000000000        3.3806279999999997       0.5595000000000000
208 82 0 0 0 0 0 0 0 0
