221 85 0 1 138 0 2.341 0.0000000000000000       0.78033330000000001        0.0000000000000000
221 86 0.22 0.78 1542 6.148 1.194 1.1980000000000000       0.11954239999999999       0.25009999999999999
221 87 1 0 294 6.4576 0 6.3559999999999999        2.8574259999999997E-002   0.0000000000000000
217 85 1 0 3.230000e-2 7.201300 0 7.0629999999999997 0.0 0.0
217 84 1 0 1.53 6.66022 0 6.66022 0.0 0.0
213 82 0 1 612 0 2.04634 0.0000000000000000       0.68211199999999994        0.0000000000000000
213 83 0.022 0.978 2735.4 5.982 1.423 0.12220000000000000       0.12653610000000001       0.42399999999999999
213 84 1 0 4.2e-06 8.537 0 8.3759999999999994        3.7382399999999996E-005   0.0000000000000000
209 81 0 1 132 0 3.977 0.0000000000000000        2.1421209999999999       0.65539999999999998
209 82 0 1 11710.8 0 0.644 0.0000000000000000        0.0000000000000000       0.1974000000000000
209 83 0 0 0 0 0 0 0 0
